SeqNum,led
190,0
191,0
192,0
193,1
194,1
195,1
196,2
197,2
198,2
199,3
200,3
201,3
202,4
203,4
204,4
205,5
206,5
207,5
208,6
209,6
210,6
211,7
212,7
213,7
214,7
215,8
216,8
217,8
218,9
219,9
220,9
221,10
222,10
223,10
224,11
225,11
226,11
227,11
228,12
229,12
230,12
231,13
232,13
233,13
234,14
235,14
236,14
237,15
238,15
239,15
240,15
241,16
242,16
243,16
244,17
245,17
246,17
247,18
248,18
249,18
250,19
251,19
252,19
253,19
254,20
255,20
256,20
257,21
258,21
259,21
260,22
261,22
262,22
263,23
264,23
265,23
266,23
267,24
268,24
269,24
270,25
271,25
272,25
273,26
274,26
275,26
276,27
277,27
278,27
279,27
280,28
281,28
